pricelayer.prices.effective.amount,pricelayer.provider.name,tariff.names.default,tariff.network.name,tariff.internet.pricePerUnit.price.amount,tariff.internet.traffic.value,tariff.internet.speed.value,tariff.voice.highestPrice.amount,tariff.voice.flatrate,tariff.sms.highestPrice.amount,tariff.sms.flatrate,tariff.contract.periods.contract.value,tariff.contract.periods.contract.unit
3445,mobilcom debitel,Magenta Mobil L,Telekom,0,24000,300000,0,True,0,True,24,month
3495,mobilcom debitel,o2 Free L Boost,o2,0,120000,225000,0,True,0,True,24,month
3582,o2,Free L Boost,o2,0,120000,300000,0,True,0,True,24,month
3599,mobilcom debitel,green LTE 40 GB,Vodafone,0,40000,100000,0,True,0,True,24,month
3624,Vodafone,Red M,Vodafone,0,20000,500000,0,True,0,True,24,month
3666,o2,Free M Flex,o2,0,20000,300000,0,True,0,True,1,month
3666,o2,Free Unlimited Basic Flex,o2,0,9999000,2000,0,True,0,True,1,month
3670,Telekom,Magenta Mobil M,Telekom,0,12000,300000,0,True,0,True,24,month
3957,mobilcom debitel,Red M,Vodafone,0,20000,500000,0,True,0,True,24,month
4165,Media Markt,Super Select XL,Telefónica,0,12000,50000,0,True,0,True,24,month
4165,Saturn,Super Select XL,Telefónica,0,12000,50000,0,True,0,True,24,month
4395,Vodafone,Red L,Vodafone,0,40000,500000,0,True,0,True,24,month
4586,Telekom,Magenta Mobil L,Telekom,0,24000,300000,0,True,0,True,24,month
4666,o2,Free L Flex,o2,0,60000,300000,0,True,0,True,1,month
4666,o2,Free Unlimited Smart Flex,o2,0,9999000,10000,0,True,0,True,1,month
4928,mobilcom debitel,Red L,Vodafone,0,40000,500000,0,True,0,True,24,month
5042,congstar,congstar X,Telekom,0,200000,50000,0,True,0,True,24,month
5082,o2,Free Unlimited Max,o2,0,9999000,500000,0,True,0,True,24,month
5125,congstar,congstar X Flex,Telekom,0,200000,50000,0,True,0,True,1,month
6428,mobilcom debitel,Red XL,Vodafone,0,9999000,500000,0,True,0,True,24,month
6666,o2,Free Unlimited Max Flex,o2,0,9999000,500000,0,True,0,True,1,month
7086,Telekom,Magenta Mobil XL,Telekom,0,9999000,300000,0,True,0,True,24,month
8292,Telekom,MagentaEINS Plus S,Telekom,0,9999000,100000,0,True,0,True,1,month
8790,1&1,All-Net-Flat 5G XXL,Telefónica,0,9999000,500000,0,True,0,True,24,month
9292,Telekom,MagentaEINS Plus M,Telekom,0,9999000,250000,0,True,0,True,1,month
